candidate_id,no_pending_criminal_cases,literacy_rate,seat_share,victor,votes,voting_percentage,state
4588,3,0.665,0.031,0,314238,0.2954,TELANGANA
5069,52,0.665,0.031,1,377374,0.3548,TELANGANA
5519,0,0.6972,0.147,0,435329,0.3801,UTTAR PRADESH
5521,0,0.6972,0.147,0,45149,0.0394,UTTAR PRADESH
5522,5,0.6972,0.147,1,646875,0.5648,UTTAR PRADESH
5813,0,0.665,0.031,0,4548,0.0043,TELANGANA
5814,0,0.665,0.031,0,318814,0.2997,TELANGANA
5815,0,0.665,0.031,0,5241,0.0049,TELANGANA
5816,0,0.665,0.031,0,6837,0.0064,TELANGANA
5819,0,0.665,0.031,0,3019,0.0028,TELANGANA
5820,0,0.665,0.031,0,4388,0.0041,TELANGANA
5821,0,0.665,0.031,0,8007,0.0075,TELANGANA
5823,0,0.665,0.031,0,5523,0.0052,TELANGANA
5824,0,0.665,0.031,0,2705,0.0025,TELANGANA
7132,1,0.6972,0.147,0,2768,0.0024,UTTAR PRADESH
7133,0,0.6972,0.147,0,2381,0.0021,UTTAR PRADESH
7134,0,0.6972,0.147,0,1408,0.0012,UTTAR PRADESH
7135,0,0.6972,0.147,0,1326,0.0012,UTTAR PRADESH
7136,3,0.6972,0.147,0,1468,0.0013,UTTAR PRADESH
8486,6,0.7931,0.048,0,315504,0.2826,GUJARAT
8487,0,0.7931,0.048,0,9121,0.0082,GUJARAT
8489,0,0.7931,0.048,0,10028,0.0101,GUJARAT
9369,0,0.7931,0.048,0,628,0.0006,GUJARAT
9370,0,0.7931,0.048,0,821,0.0007,GUJARAT
9371,0,0.7931,0.048,0,1649,0.0015,GUJARAT
9372,1,0.7931,0.048,0,1395,0.0012,GUJARAT
9373,0,0.7931,0.048,0,458,0.0004,GUJARAT
9374,0,0.7931,0.048,0,635,0.0006,GUJARAT
9375,0,0.7931,0.048,0,1272,0.0011,GUJARAT
9376,0,0.7931,0.048,0,704,0.0006,GUJARAT
9377,0,0.7931,0.048,0,898,0.0008,GUJARAT
9378,0,0.7931,0.048,0,2517,0.0023,GUJARAT
9379,0,0.7931,0.048,0,604,0.0005,GUJARAT
9381,0,0.7931,0.048,0,6082,0.0054,GUJARAT
9383,0,0.7931,0.048,0,2449,0.0022,GUJARAT
9384,0,0.7931,0.048,0,1346,0.0012,GUJARAT
9385,0,0.7931,0.048,0,589,0.0005,GUJARAT
9386,0,0.7931,0.048,1,749834,0.6717,GUJARAT
9387,0,0.7931,0.048,0,899,0.0008,GUJARAT
9388,0,0.7931,0.048,0,705,0.0006,GUJARAT
9390,0,0.7931,0.048,0,2063,0.0021,GUJARAT
9392,0,0.7931,0.048,0,1395,0.0014,GUJARAT
9395,0,0.7931,0.048,0,725,0.0007,GUJARAT
10030,0,0.7931,0.048,0,3548,0.0032,GUJARAT
10031,2,0.7931,0.048,0,573,0.0005,GUJARAT
10032,1,0.7931,0.048,0,1791,0.0016,GUJARAT
10033,0,0.7931,0.048,0,534,0.0005,GUJARAT
10034,0,0.7931,0.048,0,1337,0.0012,GUJARAT
10035,0,0.7931,0.048,0,1466,0.0013,GUJARAT
10038,1,0.7931,0.048,0,1351,0.0014,GUJARAT
