candidate_id,candidate_name,age,constituency,state,party,no_pending_criminal_cases,education,earnings,state_literacy_rate,state_seat_share,gender,winner,votes,voting_percentage
9393,SOLANKI CHIRAGBHAI SOMABHAI,59,AHMEDABAD WEST,GUJARAT,Jan Satya Path Party,0,Graduate Professional,447440,0.7931,0.048,M,0,524,0.0005
8490,RAJU PARMAR,68,AHMEDABAD WEST,GUJARAT,INC,0,Graduate,244053750,0.7931,0.048,M,0,320076,0.321
10036,BHITORA BHAVESH CHIMANBHAI,34,AHMEDABAD WEST,GUJARAT,IND,0,12th Pass,45000,0.7931,0.048,M,0,810,0.0008
9391,HARSHADKUMAR LAXMANBHAI SOLANKI,28,AHMEDABAD WEST,GUJARAT,Right to Recall Party,0,10th Pass,149586,0.7931,0.048,M,0,621,0.0006
9394,VEDUBHAI SIRASAT KAUTIKBHAI,47,AHMEDABAD WEST,GUJARAT,Ambedkarite Party of India,0,8th Pass,3300,0.7931,0.048,M,0,1055,0.0011
8488,DR. SOLANKI KIRITBHAI,69,AHMEDABAD WEST,GUJARAT,BJP,0,Post Graduate,89474039,0.7931,0.048,M,1,524,0.0005
10037,MALHOTRA PANKAJKUMAR DAYABHAI (DOCTOR SAHEB),45,AHMEDABAD WEST,GUJARAT,IND,0,Graduate Professional,4000,0.7931,0.048,M,0,1420,0.0014
9389,DIPIKA JITENDRAKUMAR SUTARIA,49,AHMEDABAD WEST,GUJARAT,Manvadhikar National Party,0,12th Pass,25570000,0.7931,0.048,F,0,615,0.0006
8512,WAKALE NAMDEO ARJUN,51,AHMEDNAGAR,MAHARASHTRA,BSP,0,Graduate Professional,180499234,0.8291,0.088,M,0,6692,0.0056
10883,KAMAL DASHRATH SAWANT,61,AHMEDNAGAR,MAHARASHTRA,IND,1,Graduate Professional,19660205,0.8291,0.088,F,0,1317,0.0011
10886,RAMNATH GAHININATH GOLHAR,54,AHMEDNAGAR,MAHARASHTRA,IND,0,12th Pass,38085000,0.8291,0.088,M,0,1268,0.0011
8677,SUDHAKAR LAXMAN AVHAD,62,AHMEDNAGAR,MAHARASHTRA,Vanchit Bahujan Aaghadi,0,Graduate,12549000,0.8291,0.088,M,0,31807,0.0264
10889,SUPEKAR DNYANDEO NARHARI,70,AHMEDNAGAR,MAHARASHTRA,IND,0,5th Pass,1598872,0.8291,0.088,M,0,2767,0.0023
10892,SHRIDHAR JAKHUJI DAREKAR,64,AHMEDNAGAR,MAHARASHTRA,IND,0,Graduate,17083133,0.8291,0.088,M,0,2349,0.002
8513,SUJAY RADHAKRISHNA VIKHE,37,AHMEDNAGAR,MAHARASHTRA,BJP,0,Doctorate,166040612,0.8291,0.088,M,1,704660,0.5854
10884,DATTATRAYA APPA WAGHMODE,50,AHMEDNAGAR,MAHARASHTRA,IND,0,5th Pass,5139100,0.8291,0.088,M,0,971,0.0008
8675,FARUKH ISMAIL SHAIKH,36,AHMEDNAGAR,MAHARASHTRA,Bharatiya Praja Surajya Paksha,0,8th Pass,1232478,0.8291,0.088,M,0,2502,0.0021
10887,SHAIKH ABID MOHAMMAD HANIF,46,AHMEDNAGAR,MAHARASHTRA,IND,0,12th Pass,-466570,0.8291,0.088,M,0,2488,0.0021
8678,KALIRAM BAHIRU POPALGHAT,67,AHMEDNAGAR,MAHARASHTRA,Bhartiya Navjawan Sena (Paksha),0,10th Pass,58000,0.8291,0.088,M,0,3192,0.0027
10890,SANJIV BABAN BHOR,44,AHMEDNAGAR,MAHARASHTRA,IND,10,Others,7588737,0.8291,0.088,M,0,3838,0.0032
7725,SANGRAM ARUNKAKA JAGTAP,34,AHMEDNAGAR,MAHARASHTRA,NCP,1,Graduate,61939253,0.8291,0.088,M,0,423186,0.3515
10882,APPASAHEB NAVNATH PALVE,32,AHMEDNAGAR,MAHARASHTRA,IND,0,Graduate Professional,15000,0.8291,0.088,M,0,716,0.0006
10885,BHASKAR FAKIRA PATOLE,38,AHMEDNAGAR,MAHARASHTRA,IND,0,10th Pass,290540,0.8291,0.088,M,0,1242,0.001
8676,DHIRAJ MOTILAL BATADE,31,AHMEDNAGAR,MAHARASHTRA,Right to Recall Party,0,12th Pass,22000,0.8291,0.088,M,0,1492,0.0012
10888,SAINATH BHAUSAHEB GHORPADE,33,AHMEDNAGAR,MAHARASHTRA,IND,1,8th Pass,2130000,0.8291,0.088,M,0,3986,0.0033
8679,SANJAY DAGDU SAWANT,25,AHMEDNAGAR,MAHARASHTRA,Bahujan Mukti Party,0,5th Pass,30000,0.8291,0.088,M,0,1507,0.0013
10891,SANDIP LAXMAN SAKAT,38,AHMEDNAGAR,MAHARASHTRA,IND,1,10th Pass,24600,0.8291,0.088,M,0,3745,0.0031
